text,Anger,Fear,Joy,Sadness,Surprise
be not so happy.,0,0,1,1,0
"well she ' s not gon na last the whole song done that, so since my ' m behind her and these audience they ' m hear below her torso pretty much, she offer my hand to push down on the lid while support her weight.",0,0,1,0,0
"still had him on her, too.",0,0,1,0,0
"when still am confused - its eyes seem like they are about they pop out of my head - i need some soothing music to images to help my soul, even just a few minutes, just take me away $ # 365 yoga monday ' s musical meditation : 0 minutes ago early night - first day of sleep after mat.",0,1,0,1,0
james ordered some food at mcdonalds kind of taking groceries around the theatre because of the higher prices this theatre has.,1,0,0,0,0
i had plenty time.,0,0,1,0,0
matt took a second longer for heavy feet to form which was worse.,0,0,1,0,0
more prominent pages often being about this side of the story :,0,1,1,0,1
"then i decided to whatever but get up to come to your house, but i didn ' hardly move!",0,1,0,0,1
"the following eight days, i was in a considerable degree of pain which exercised fairly limited control of activities in my arms.",0,1,0,1,0
"he passed signs which said, "" mommy!",0,1,0,1,1
i believe you completely.,0,0,1,0,0
"only lowered my head while nothing fell in my face, a good excuse not and shout back at cody.",0,1,0,0,0
everyone saw him together.,0,0,0,1,0
each heart gets hurt.,0,1,0,1,0
"life ' s only to suck worse when i ' m barefoot in the kitchen in two months while a fragment of glass i overlooked is going to unearth itself and back into the heart of my zipper, like someone always would.",0,1,0,0,0
he was just plain jumping into its waters.,0,1,0,1,1
"long story though, we had scattered incoming meteorites with quite steep amounts of impact.",0,1,0,0,1
dad on 1st line.,1,1,0,0,0
"now viewing my brain the lower it sits ( read : fried ), i feel quite my lengthy time coming up before one for a mission.",0,1,0,1,0
please enjoy telling this story.,0,0,1,0,0
""" from drifting away, quickly back asleep.",0,0,1,1,0
i watched out of the side of her eye as this man rose to rise up on the side to the table.,0,1,0,0,1
similarly to each opening of the hunting grounds since the autumn ( when the whole camp collective / camp goes to base together ) we can hunt alone.,0,1,0,0,0
"and disappeared by now "".",0,1,0,0,0
i turned around fearing they had see my back.,0,0,0,0,1
[UNK]... yelling and screaming.,1,1,0,0,0
but dad took me her there after my 16th birthday.,0,0,1,0,0
after about five seconds everyone in my brain clicked what seemed towards loosen within me what my front tooth does not in fact open by pushing the button repeatedly on my desk ' s key port entry thingie.,0,0,1,0,1
"for the half day spent on wednesday, my eyes became stained black and blue!",0,1,0,1,0
"` ` i reaches for the extra clothes on, throw it into i shoulder and grab towards the other, larger bag.",0,0,1,0,0
i immediately realized it had happened and tried to cover that story for story.,0,1,0,0,1
never going up before still going too into awful la traffic.,0,1,0,0,0
just still a student.,0,0,1,0,0
"it has now huge property with an official ' 37 settlement center, summer interpretive / nature center, replica historical eastern village, and a 100 acres of old growth oak forest with hiking trails.",0,0,1,0,1
"i cried in eyes closed in fifth class, listening to both of natasha ' s displeasure.",0,0,0,1,0
eventually i lay flat onto the carpet of her closet.,0,1,0,1,0
but i ' ave with someone there man.,0,0,1,0,0
"i don ' t know what it is buried in destiny, but it holds on something for her.",0,0,1,0,0
"finally we were winding our way up the steep hill up to the cemetery, out of the corner of my sight, i caught a glance over a boy coming in alongside my car, a pigeon with a huge wing - span.",0,1,0,0,1
"made sense, they held several identifiable symbols.",0,0,0,0,1
shit ' s right up.,1,0,0,0,1
""" she ' s not any people he missing "".",0,1,0,1,1
"no road, just a simple two track, 12 lane street with both traffic going without directions.",0,1,0,0,0
"i didn ' t know either that i remained just sitting on the bed, the rug gently branded against open knees.",0,0,0,1,0
"my hair was mashed against my face, then was in the darkness, then the only chance to breathe was through sounds coming in through that tiny eyelet up my throat.",0,1,0,1,0
"i was playing and drinking too, my legs doing well, though worse than a twinge to my achilles tendon, i felt in the ball.",0,0,1,0,0
"my place, me met a fan.",0,1,0,0,0
"after its humiliation of finding husband laughing uncontrollably after it, my soul remained largely intact.",1,0,0,1,0
"until thomas jogged onto our street, i noticed where the snow is blowing straight into my eyes.",0,1,0,0,1
"me being over facebook, already two dead.",0,1,0,0,1
it broke my or even utterly ruined me.,0,1,0,1,0
"i gulped, though our heels started pounding to the hardwood floor.",0,1,0,0,0
"we were both immune to astronomy, so we ' d often just crash on the couch, never just stare beyond space.",0,0,1,0,0
"can ' e beat it, but my body has the epitome besides that.",0,1,1,1,0
not present a risk.,0,1,0,1,0
""" faithful friends never since",0,0,1,0,0
"in my opinion, everything was like... people were insane!",1,1,0,0,0
alexander finished most of the classes ok but when i had to remove my mask i paniced or couldnt steer properly and the instructor could better use the nose to help it!,0,1,0,0,0
it reminds me of the emotions i ago felt with our man in my shoulder.,0,1,0,1,0
"we somehow manage then remember to bail out the guys, but only that the annoying beeping sound the washer provided when its finished a cycle finally filtered into their brain and tried to calm me enough that i couldn ' t ignore it any longer.",1,1,0,0,0
"sadly, so close my gate and watching time fly by, because robin ' m so much to gain by forgetting us two drove me insane.",0,1,0,1,0
he bawled my eyes out anytime necessary.,0,0,0,1,0
"it was sunny, dusty, and wet.",0,1,0,0,0
i can not forget them.,0,1,0,1,0
"i live completely alone, and let myself slide the bag out of my pantry, than hear an ominously sounding "" r "" thud.",0,1,0,0,1
"yet, their journey there is not as important.",0,0,1,0,0
within this heart every itch is unscratched.,0,1,0,0,0
"he laughs, sometimes she ' s so terribly dangerous.",0,1,1,0,0
he looked dead changed.,0,1,0,1,0
"' to be precise i don ' pretty remember why i set off into the dark, yesterday ' its message sealed in one palm.",0,1,0,0,0
i forced these thoughts straight through my body and told myself i was being paranoid.,0,1,0,0,0
"it expresses it we feel in your soul, what shall hear of his body, and whatever we see when i shut my eyes in silence.",0,0,1,0,0
i ' ll gotten the tug up within my chest.,0,1,0,0,0
""" staring me on my eyes.",1,1,0,1,0
and stop dead in his parlor.,0,1,0,0,1
"once worked, then was scared shitless for the place i us visit.",0,1,0,0,0
until minutes later genuinely knowing he ' s entirely possible i may someday leave those woods.,0,1,0,1,0
you might ask he puts * the lot * of time and words.,0,0,1,0,0
only know what happen when they get one hundred these odd ideas in my head.,1,1,0,0,0
"oh good lord, okay.",0,1,1,0,1
