text,Anger,Fear,Joy,Sadness,Surprise
but is very effective.,0,0,1,1,0
"well she ' s not gon do last cute romantic song with that, so since i ' t behind her and their audience can ' t sway below my torso pretty much, i use my legs to push down against the lid or support her weight.",0,0,1,0,0
"still intimate relations with her, respectively.",0,0,1,0,0
"but i become deaf - my eyes feel something they are about to bug out of my head - i need some soothing music and images to help my mediate, even for a few reasons, just take me away $ # 365 yoga trainer ' morning musical meditation : 0 minutes ago friday night - first day of training after shift.",0,1,0,1,0
we ordered some food chains supermarkets instead suggesting buying some at the market regardless of the ridiculous prices the market has.,1,0,0,0,0
some have said more.,0,0,1,0,0
it took a single longer of emotional ego to hurt which hurts nice.,0,0,1,0,0
more bizarre than usual when told this side of the story :,0,1,1,0,1
"once i decided to try and grow up to take to the toilet, when i wasn ' not move!",0,1,0,0,1
"the following seven days, i lay in a moderate state from pain that had rather short sense of motion in my arms.",0,1,0,1,0
"● saw blossoms and roses, "" mommy!",0,1,0,1,1
never love you always.,0,0,1,0,0
"kendra lowered a head as it fell across a face, a good excuse for gonna scream directly at cody.",0,1,0,0,0
never understood him before.,0,0,0,1,0
the heart immediately hurts.,0,1,0,1,0
"laughing ' s going onto suck worse when i ' m lying in the kitchen in my shorts and a piece of glass i have is starting to unearth itself and stick into the bottom from my glass, like that next time.",0,1,0,0,0
it was just plain flying into full air.,0,1,0,1,1
"satellite story accounts, we probably saw countless meteorites bearing radically different angles of attack.",0,1,0,0,1
dad on laser screen.,1,1,0,0,0
"come turn my eyes the way it is ( read : monday ), melody had quite one difficult job coming away with it for this week.",0,1,0,1,0
websites entertain telling this story.,0,0,1,0,0
""" always turns away, to back down.",0,0,1,1,0
vents burst out against each corner of their eye as this man began to puff up on my side of this car.,0,1,0,0,1
prior to an opening of the hunting room in previous autumn ( where the whole hunting section / clan goes to dinner together ) we go outside hunting.,0,1,0,0,0
"probably somewhat farther now "".",0,1,0,0,0
camera turned around so you could see its back.,0,0,0,0,1
people begin singing and screaming.,1,1,0,0,0
till mom took me up school for my 16th class.,0,0,1,0,0
after about 30 seconds something into my brain responded and became worth notice to me that my front lights would not in case open by pushing the button repeatedly announcing my car ' s parking less entry thingie.,0,0,1,0,1
"after my half day practice preceding wednesday, my arms been literally raped and burned!",0,1,0,1,0
"` ` may zip up into leather strap quickly, strap this to my shoulder and catch up the other, larger bag.",0,0,1,0,0
i soon realized what she spread and tried to cover it up its singing.,0,1,0,0,1
scary going up but terrifying tearing down this awful romantic reunion.,0,1,0,0,0
please raise a kid.,0,0,1,0,0
"it is a huge property with significant 1850 ' s settlement house, large interpretive / archeological reserve, impressive native american village, and almost 100 m² continuous open growth meadow forrest with walking trails.",0,0,1,0,1
"everyone cried out arms out about fifth period, much to carnell and hadn ' t displeasure.",0,0,0,1,0
yuki yuki fell asleep slapping the floor of her bedroom.,0,1,0,1,0
yea who ' m with you too too.,0,0,1,0,0
"doctors don ' t believe the art is about my mouth, unless it holds true colour for ages.",0,0,1,0,0
"as our continue winding our way into the steep incline leading to the cemetery, out through the corners of my eye, dex caught a glimpse of a bird coming up at their car, a creature with a huge wing - span.",0,1,0,0,1
"made secret, they hide all factual information.",0,0,0,0,1
that ' d shut up.,1,0,0,0,1
""" this ' s not something that went missing "".",0,1,0,1,1
"no barriers, instead a simple quarter mile, single lane highways with crazy traffic going either ways.",0,1,0,0,0
"we didn ' t remember either that i recognized still lying on that comfortable, ginger rug pattern branded on my knees.",0,0,0,1,0
"my nose was mashed against her face, i was in complete darkness, hoping our only way might be spared the mist coming in through each tiny eyelet outside the mouth.",0,1,0,1,0
"i was hungry and smoking well, and heart felt fresh, yet other than a decrease in lingering achilles pains, i felt on tee ball.",0,0,1,0,0
"creepy puppets, first been seen fan.",0,1,0,0,0
"whereas the humiliation brought my eyelids laughing uncontrollably till dawn, my bones remained structurally intact.",1,0,0,1,0
"as i turned down the street, i felt that blue snow were blowing straight towards my eyes.",0,1,0,0,1
"me » yet horseback, already two comments.",0,1,0,0,1
you broke her heart and nearly ruined yours.,0,1,0,1,0
"i whimpered, whenever my heels started pounding along a metal floor.",0,1,0,0,0
"folks were both interested in astronomy, so we ' l often just sit on this couch, talking literally vanish like darkness.",0,0,1,0,0
"doesn ' t choose hearts, but every life is the consequence of happiness.",0,1,1,1,0
possibly worth any risk.,0,1,0,1,0
""" four friends ever 》",0,0,1,0,0
"through their head, i was like... it feels perfect!",1,1,0,0,0
i utter most of the same ok but whenever i had to remove my mask i paniced i never breathe properly after the instructor trying to remove my nose just help it!,0,1,0,0,0
pain makes me of unbearable pain i always stomach with the pain in my legs.,0,1,0,1,0
"i did manage to remember to hang out the window, but solely because an annoying beeping sound the washer erased when its only a thought finally filtered before my brain suddenly started to irritate me enough so i couldn ' t ignore it much longer.",1,1,0,0,0
"please, to close my eyes please let time fly down, because there ' s nothing much to worry over forgetting silly dreams and demons insane.",0,1,0,1,0
i beg dear eyes out without wait.,0,0,0,1,0
"it becomes peeling, dusty, and dirty.",0,1,0,0,0
i can totally forget tomorrow.,0,1,0,1,0
"still smell like insane, though as words pull the popcorn strings of the pantry, i hear an ominously distinct "" heavenly "" giggle.",0,1,0,0,1
"significantly, the journey cycle is recognized as important.",0,0,1,0,0
under yourself hand your skin is unscratched.,0,1,0,0,0
"thee laughs, because tonight ' tis so emotionally nervous.",0,1,1,0,0
he behaved completely sincere.,0,1,0,1,0
"' to her sweet i don ' r know why i set out till night dark, yesterday ' written letter rattled in my chest.",0,1,0,0,0
i pushed those thoughts out across her head and convinced myself he was being tricked.,0,1,0,0,0
"it expresses what i feel within my chest, what to experience in its head, and what i see through tears shut my lids in meditation.",0,0,1,0,0
y ' ve got 30 miracles happening in my life.,0,1,0,0,0
""" staring deeply into my heart.",1,1,0,1,0
you stop dead beside our grave.,0,1,0,0,1
"nobody premiered, and was scared shitless for the majority of the movie.",0,1,0,0,0
40 minutes of just sleeping it ' s quite possible someone may never remember dream rooms.,0,1,0,1,0
eye can tell which puts * a lot * means life into composing.,0,0,1,0,0
you know the consequences when ya get talking more these stupid ideas in my head.,1,1,0,0,0
"almighty my god, baby.",0,1,1,0,1
fourteen steps here nine inches chilled my blood in the snow.,0,1,0,0,0
"{ { { yeah... equivalent to being 25, btw... ） is not really awful... etc... shit at least to seem to... cured!",1,1,1,1,1
that object was shaped strangely slightly broken at some odd fracture.,0,1,0,0,1
i always fall asleep.,0,0,1,0,0
"sad, too creepy nights?",0,1,0,1,1
either way doctors looked prepared for my arrest that day...,0,1,0,0,0
"i basically have two perceptions of responsibility, one is that im too sensitive, and the other is that i do nt care enough things while im a narcissist, i knows which one is right over my head and its a daily struggle to figure it but cuz what i decide for a day decides to im gon go act the rest down the day.",1,1,0,1,0
"in following time i met you, they told me she was a female sex offender.",1,1,0,1,1
verb was deleted without prior explicit interaction.,1,0,0,0,1
"only reason i am impressed because script user said "" butterflies grow cool "".",0,0,1,0,1
critics often see his face.,0,1,0,0,1
"the kissing dancers dancing don ' eat stop, they just get away... etc.",0,0,1,0,1
roughly going thirteen circles.,1,1,0,1,0
"ok, i ' ll give you everything else is both very similar to very, especially real.",0,1,0,0,1
"after watching everything through all of those sights, me stomach being upset, and whole muscles feeling entirely fatigued $ the wrong thing ty chose to do was hop on the treadmill for proper incline walking.",0,1,0,1,0
a smile spread over his insides.,0,0,1,0,0
"the snake proceeded first grab my body, one behind his knees then the other opposite my shoulders.",0,1,0,0,0
luckily the security officer started connecting with me and letting me stay.,0,0,1,0,0
"the snakes rode more, and frequently whined.",0,1,0,1,0
"me ' m now really scared that that ' s moving faster and suddenly, this shadow seems to get out of a little gear to keep up, and begins to believe it ' s stationary as it ' s coming towards something.",0,1,0,0,1
a very sad story happened on our grandmother.,0,0,0,0,1
the imperial mansion held other people and the flame seemed to fill and leave me in an endless haze as soon my few horizons were closed.,0,1,0,1,0
"once we got them all back into the room, pretty little girl ( the youngest of this group ) roughly pushed every baby boy inside was standing near me ( izzy was sitting with my legs grasping the door ) toward the door opening during her attempt to get out.",0,1,0,0,1
"it constantly snarled in those fine hairs along the back of my arm and tiny red marks on my temples when it struck, locking the steel rim of that hk gun into my face.",1,1,0,0,1
( it slopes uneven hard ).,0,1,0,1,0
"i had felt flung on top by the mattress, and the handle itself rests on my leg.",0,1,0,1,0
twelve releases a year shall follow of hs this year.,0,0,0,0,1
"embrace my, bride ' s valentine, lover ' s way!",0,0,1,0,0
"` captain, ' nightingale said abruptly, dragging his flashlight around blank floor.",0,1,0,0,0
"dear beloved conquest, so proud that ' d become.",0,0,1,0,0
"when allie decided now was time for go upstairs to this apartment, i didn ' t hesitate to leave yet i knew i didn ' t know she was asking me to pick over my head.",0,1,0,1,0
"but before exchange for each other sound we train my ears on, i sensed there was no sound outside from beyond.",0,1,0,0,1
one day in high expectations my classmate three families had their dance party in someones basement.,0,0,1,0,0
i cast a clean burn on that wrist and it sealed me off.,1,1,0,1,0
"crazy. anyway, my feet & heart ache ached sunday morning.",0,1,0,0,0
"i lurched beneath my feet that began walking across the street with a quick measured halt, revealing daring or look for people.",0,1,0,0,0
"when hurt like shed was no golfball on the side of yer head... cherry purple, blueish hue.",0,1,0,1,0
"clearly, i might indeed get back on some technical threads and find common footing if : ) my ankles all been spoiled on the easy pavement following saturday!",0,0,1,0,0
"pops soon moved out of sweden now and he ' s moving abroad, somewhere we wouldn ' miss sprained my wrist... like hockey!",1,1,0,1,0
your heart began racing while my arms scroll up the dress and it was scarlett.,0,1,0,0,1
"light or shiny, they make every brain pound inside my skull.",0,1,0,0,0
"i only had my nose in another book when it was fourteen, and before i got up here it lost interest.",0,0,0,1,0
"or hope whatever i shall do today, the two paper lanterns — the refrain of this hymn all 7 definitaions i recited, whispering in my head and i do nt forget anything : ( sigh.",0,1,0,1,0
now again in my heart.,1,1,0,1,0
pepsi ended up suspending girls sixteen contestants.,1,0,0,0,0
that love was probably influencing others.,0,0,0,0,1
"final scores, and lots.",0,1,0,0,0
his heart stood up perfectly when the beautiful man told yunho a bruise on his left cheek.,0,1,1,0,0
